ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
80066281,Photo,Sharp-shinned Hawk,Accipiter striatus,,Warren Cronan,2017-12-31,2017,12,31,1345,Canada,CA-BC-NA,British Columbia,Nanaimo,Englishman River Estuary--Plummer Rd side,49.3286928,-124.2867326,"",,Unspecified,"","",,,,,,,S41510754,"",,,,"Flew down after Junco's on river bank, briefly landed in Alder then flew across river directly at 2 eagles atop a large fir. The eagles flew flew off together across the estuary and the hawk disappeared into the trees.",Accipiter striatus,shshaw,Species,7896,,3.67,3,,1696,2544
79730721,Photo,Sharp-shinned Hawk,Accipiter striatus,,Jack & Holly Bartholmai,2012-02-20,2012,2,20,934,United States,US-WI-027,Wisconsin,Dodge,"Clausen Park Cemetery Fox Lake, Dodge County,Wi",43.5687161,-88.9082819,Adult,,Unspecified,"","",,,,,,,S41419824,"",,,"Sharp-shined Hawk, Fox Lake, Dodge, Wi.","Small hawk, square tail, relatively small head, no ""crest"", Relatively long exposed legs.",Accipiter striatus,shshaw,Species,7816,,3.67,3,,1375,1719
79658961,Photo,Sharp-shinned Hawk,Accipiter striatus,,Diego Carús,2017-12-25,2017,12,25,500,Argentina,AR-B-SF,Buenos Aires,San Fernando Partido,Reserva Natural de Uso Múltiple Isla Martín García (AICA BA06),-34.1837424,-58.2499624,"",,Unspecified,"","",,,,,,,S41406238,"",,,,,Accipiter striatus,shshaw,Species,7816,,3.67,3,,720,1024
79486601,Photo,Sharp-shinned Hawk,Accipiter striatus,,Roberta Blair,2017-12-27,2017,12,27,830,United States,US-FL-105,Florida,Polk,Auburndale,28.0653000,-81.7887000,"",,Unspecified,"","",,,,,,,S41360294,"",,,,,Accipiter striatus,shshaw,Species,7816,,3.67,3,,1252,1648
79181901,Photo,Sharp-shinned Hawk,Accipiter striatus,,Patty VanLandeghem,2017-12-22,2017,12,22,1515,United States,US-PA-029,Pennsylvania,Chester,VanLandeghem Property and Vicinity,40.1799887,-75.7526328,"",,Unspecified,"","",,,,,,,S41298043,"",,,,,Accipiter striatus,shshaw,Species,7816,,3.67,3,,2299,2680
78975391,Photo,Sharp-shinned Hawk,Accipiter striatus,,Alex Lamoreaux,2017-09-11,2017,9,11,635,United States,US-MN-137,Minnesota,St. Louis,Hawk Ridge Nature Reserve,46.8469659,-92.0315212,Juvenile,,Unspecified,"","",,,,,,,S39135014,"",,,,,Accipiter striatus,shshaw,Species,7816,,3.67,3,,1864,2800
78627581,Photo,Sharp-shinned Hawk (Northern),Accipiter striatus [velox Group],,Sean Cozart,2017-12-16,2017,12,16,930,United States,US-WA-071,Washington,Walla Walla,Garrison Village Private Ponds,46.0440761,-118.3719456,Adult,,Unspecified,"","",,,,,,,S41138226,"",,,,"Awesome, great looks as he perched on top of a roof.",Accipiter striatus,shshaw2,Group,7821,,3.67,3,,2592,3872
78627561,Photo,Sharp-shinned Hawk (Northern),Accipiter striatus [velox Group],,Sean Cozart,2017-12-16,2017,12,16,930,United States,US-WA-071,Washington,Walla Walla,Garrison Village Private Ponds,46.0440761,-118.3719456,Adult,,Unspecified,"","",,,,,,,S41138226,"",,,,"Awesome, great looks as he perched on top of a roof.",Accipiter striatus,shshaw2,Group,7821,,3.67,3,,2591,2592
78334981,Photo,Sharp-shinned Hawk,Accipiter striatus,,Steeve R. Baker,2017-12-16,2017,12,16,730,Canada,CA-QC-QU,Quebec,Québec,RON - Parcelle G67,46.8639871,-71.2576246,Adult,,Unspecified,"","",,,,,,,S41133401,"",,,,"On peut se demander si l'oiseau est blessé: il a toujours une patte repliée et semble manquer de plumes au ventre.",Accipiter striatus,shshaw,Species,7816,,3.67,3,,1168,1000
77885201,Photo,Sharp-shinned Hawk,Accipiter striatus,,scott davis,2017-12-11,2017,12,11,750,United States,US-SC-007,South Carolina,Anderson,"Dobbins Farm, Townville SC (sensitive site - respect farm operations)",34.5450462,-82.8961895,Adult Male,,Unspecified,"","",,,,,,,S41032341,"",,,,Male. Just inside tree line on Gaines.,Accipiter striatus,shshaw,Species,7816,,3.67,3,,2314,2314
