ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
388569401,Photo,Red-tailed Hawk,Buteo jamaicensis,,James Hirtle,2021-11-14,2021,11,14,1055,Canada,CA-NS-LU,Nova Scotia,Lunenburg,Heckmans Island,44.3829636,-64.2441052,"",,Unspecified,"","",,,,,,,S97669580,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,3000,4000
388569381,Photo,Red-tailed Hawk,Buteo jamaicensis,,James Hirtle,2021-11-14,2021,11,14,1055,Canada,CA-NS-LU,Nova Scotia,Lunenburg,Heckmans Island,44.3829636,-64.2441052,"",,Unspecified,"","",,,,,,,S97669580,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,3000,4000
388567021,Photo,Red-tailed Hawk,Buteo jamaicensis,,Steve McInnis,2021-11-16,2021,11,16,1053,United States,US-DE-001,Delaware,Kent,"4937 Woodland Beach Rd, Smyrna US-DE 39.31362, -75.50978",39.3136200,-75.5097820,Adult – 1,,Unspecified,"","",,,,,,,S97665669,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,2.00,1,,615,615
388566831,Photo,Red-tailed Hawk,Buteo jamaicensis,,Gil Aburto-Avila,2021-11-16,2021,11,16,956,Canada,CA-ON-PL,Ontario,Peel,Chinguacousy Park,43.7258940,-79.7221184,"",,Unspecified,"","",,,,,,,S97663398,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,2353,3537
388566821,Photo,Red-tailed Hawk,Buteo jamaicensis,,Gil Aburto-Avila,2021-11-16,2021,11,16,956,Canada,CA-ON-PL,Ontario,Peel,Chinguacousy Park,43.7258940,-79.7221184,"",,Unspecified,"","",,,,,,,S97663398,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,1034,1554
388566811,Photo,Red-tailed Hawk,Buteo jamaicensis,,Gil Aburto-Avila,2021-11-16,2021,11,16,956,Canada,CA-ON-PL,Ontario,Peel,Chinguacousy Park,43.7258940,-79.7221184,"",,Unspecified,"","",,,,,,,S97663398,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,2156,3240
388566801,Photo,Red-tailed Hawk,Buteo jamaicensis,,Gil Aburto-Avila,2021-11-16,2021,11,16,956,Canada,CA-ON-PL,Ontario,Peel,Chinguacousy Park,43.7258940,-79.7221184,"",,Unspecified,"","",,,,,,,S97663398,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,1960,2945
388566791,Photo,Red-tailed Hawk,Buteo jamaicensis,,Gil Aburto-Avila,2021-11-16,2021,11,16,956,Canada,CA-ON-PL,Ontario,Peel,Chinguacousy Park,43.7258940,-79.7221184,"",,Unspecified,"","",,,,,,,S97663398,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,1279,1922
388566761,Photo,Red-tailed Hawk,Buteo jamaicensis,,Gil Aburto-Avila,2021-11-16,2021,11,16,956,Canada,CA-ON-PL,Ontario,Peel,Chinguacousy Park,43.7258940,-79.7221184,"",,Unspecified,"","",,,,,,,S97663398,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,945,1421
388566731,Photo,Red-tailed Hawk,Buteo jamaicensis,,Gil Aburto-Avila,2021-11-16,2021,11,16,956,Canada,CA-ON-PL,Ontario,Peel,Chinguacousy Park,43.7258940,-79.7221184,"",,Unspecified,"","",,,,,,,S97663398,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,424,637
